run_id,bug_key,group_a_hash,group_r_hash,group_c_hash,all_equal,shared_context_path
stage2_mve_formal_20260825T210517,Chart-24,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-24/shared_context.json
stage2_mve_formal_20260825T210517,Codec-1,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Codec-1/shared_context.json
stage2_mve_formal_20260825T210517,Collections-1,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-1/shared_context.json
stage2_mve_formal_20260825T210517,Collections-14,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-14/shared_context.json
stage2_mve_formal_20260825T210517,Collections-26,8d865e9598cd83ff8ee8791909c5512bd9ee0bc5b800527cd274ec5f388a897d,8d865e9598cd83ff8ee8791909c5512bd9ee0bc5b800527cd274ec5f388a897d,8d865e9598cd83ff8ee8791909c5512bd9ee0bc5b800527cd274ec5f388a897d,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-26/shared_context.json
stage2_mve_formal_20260825T210517,Jsoup-45,2a156f57617eac4a407d7cf1cd1762b30876b11d18426c75607dd40d05eeceab,2a156f57617eac4a407d7cf1cd1762b30876b11d18426c75607dd40d05eeceab,2a156f57617eac4a407d7cf1cd1762b30876b11d18426c75607dd40d05eeceab,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Jsoup-45/shared_context.json
stage2_mve_formal_20260825T210517,Jsoup-89,d75867211a925ae28e7f862f7ea770d39f28cba146e4071f7f839e9762c54a93,d75867211a925ae28e7f862f7ea770d39f28cba146e4071f7f839e9762c54a93,d75867211a925ae28e7f862f7ea770d39f28cba146e4071f7f839e9762c54a93,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Jsoup-89/shared_context.json
stage2_mve_formal_20260825T210517,Lang-40,83de8a7d681dce59e474fd3735705c2dfef6d7212f7cdcc55ab52e303c5b253d,83de8a7d681dce59e474fd3735705c2dfef6d7212f7cdcc55ab52e303c5b253d,83de8a7d681dce59e474fd3735705c2dfef6d7212f7cdcc55ab52e303c5b253d,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Lang-40/shared_context.json
stage2_mve_formal_20260825T210517,Lang-62,013037a9c2d62d3ceebf1c41130c85dec0e805d8927f94eb33c8054d626678e8,013037a9c2d62d3ceebf1c41130c85dec0e805d8927f94eb33c8054d626678e8,013037a9c2d62d3ceebf1c41130c85dec0e805d8927f94eb33c8054d626678e8,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Lang-62/shared_context.json
stage2_mve_formal_20260825T210517,Math-91,7558cf1616e2a16be9d0d84a3efabeb46fa38e75119a0465d514eadff003244d,7558cf1616e2a16be9d0d84a3efabeb46fa38e75119a0465d514eadff003244d,7558cf1616e2a16be9d0d84a3efabeb46fa38e75119a0465d514eadff003244d,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Math-91/shared_context.json
stage2_mve_formal_20260825T210517,Chart-1,3b9430df8ad4f5869cf41f3b85c740b3cbc33cf6ec929b6e80a725c6845753c2,3b9430df8ad4f5869cf41f3b85c740b3cbc33cf6ec929b6e80a725c6845753c2,3b9430df8ad4f5869cf41f3b85c740b3cbc33cf6ec929b6e80a725c6845753c2,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-1/shared_context.json
stage2_mve_formal_20260825T210517,Chart-4,564f289cbac7d99b4dd7d659663f57a17fb52d49d7f8b1fc796b9c70ad6a405c,564f289cbac7d99b4dd7d659663f57a17fb52d49d7f8b1fc796b9c70ad6a405c,564f289cbac7d99b4dd7d659663f57a17fb52d49d7f8b1fc796b9c70ad6a405c,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-4/shared_context.json
stage2_mve_formal_20260825T210517,Chart-17,c56d03b193ac6d1fd4cd4188428fd8405702affeaed9a65bf07d1ad42b5af8ae,c56d03b193ac6d1fd4cd4188428fd8405702affeaed9a65bf07d1ad42b5af8ae,c56d03b193ac6d1fd4cd4188428fd8405702affeaed9a65bf07d1ad42b5af8ae,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-17/shared_context.json
stage2_mve_formal_20260825T210517,JacksonDatabind-3,7d1ce29032b9fbaba96103c82666a4446c13ba815d431ec6cfb725204cba87d9,7d1ce29032b9fbaba96103c82666a4446c13ba815d431ec6cfb725204cba87d9,7d1ce29032b9fbaba96103c82666a4446c13ba815d431ec6cfb725204cba87d9,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/JacksonDatabind-3/shared_context.json
stage2_mve_formal_20260825T210517,Chart-22,70de93a97a74133066d02dfe68c736a1f87acbdd94f37ebd50d085427d2f72bd,70de93a97a74133066d02dfe68c736a1f87acbdd94f37ebd50d085427d2f72bd,70de93a97a74133066d02dfe68c736a1f87acbdd94f37ebd50d085427d2f72bd,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-22/shared_context.json
stage2_mve_formal_20260825T210517,Closure-49,5849cacb40aeade428e7f0f8a79211c0e0e391fc13681cabddff75e95206c3ed,5849cacb40aeade428e7f0f8a79211c0e0e391fc13681cabddff75e95206c3ed,5849cacb40aeade428e7f0f8a79211c0e0e391fc13681cabddff75e95206c3ed,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Closure-49/shared_context.json
stage2_mve_formal_20260825T210517,JacksonDatabind-29,c4a5b1cfbe9cd831c76969f0b1c891540b4d2e79a5afd1397016c38a0328a790,c4a5b1cfbe9cd831c76969f0b1c891540b4d2e79a5afd1397016c38a0328a790,c4a5b1cfbe9cd831c76969f0b1c891540b4d2e79a5afd1397016c38a0328a790,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/JacksonDatabind-29/shared_context.json
stage2_mve_formal_20260825T210517,JacksonDatabind-75,f5866bdd0db7ea1b223e8877b04962f2e33ec8e03714ed38e49e9a92af43214c,f5866bdd0db7ea1b223e8877b04962f2e33ec8e03714ed38e49e9a92af43214c,f5866bdd0db7ea1b223e8877b04962f2e33ec8e03714ed38e49e9a92af43214c,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/JacksonDatabind-75/shared_context.json
stage2_mve_formal_20260825T210517,Jsoup-41,9813077c88d3ebf65b5c8199a9a7a2a87c379d6950a7b7ef5b31036124613127,9813077c88d3ebf65b5c8199a9a7a2a87c379d6950a7b7ef5b31036124613127,9813077c88d3ebf65b5c8199a9a7a2a87c379d6950a7b7ef5b31036124613127,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Jsoup-41/shared_context.json
stage2_mve_formal_20260825T210517,Mockito-1,fbe24bdbf88ce20ec092c2b4b823d7b3562035fdd682fa399481b6f76d99a652,fbe24bdbf88ce20ec092c2b4b823d7b3562035fdd682fa399481b6f76d99a652,fbe24bdbf88ce20ec092c2b4b823d7b3562035fdd682fa399481b6f76d99a652,true,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Mockito-1/shared_context.json
