run_id,sequence_id,project_id,bug_id,bug_key,experiment_group,phase,protocol_version,protocol_lock_id,shared_context_path,shared_context_sha256,model,model_version,temperature,top_p,max_output_tokens,maximum_attempts,token_budget,timeout_compile,timeout_trigger_test,timeout_all_tests,timeout_spotbugs,patch_quantity_limit,status,started_at,finished_at
stage2_mve_formal_20260825T210517,1,Chart,24,Chart-24,A,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-24/shared_context.json,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:21:12+0800,2026-08-25T21:26:36+0800
stage2_mve_formal_20260825T210517,2,Chart,24,Chart-24,R,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-24/shared_context.json,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:26:36+0800,2026-08-25T21:32:01+0800
stage2_mve_formal_20260825T210517,3,Chart,24,Chart-24,C,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Chart-24/shared_context.json,ee08b7b795e7640ad026cb867bfae9231b72ec04677083acd54350fbf8ad4ac4,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:32:01+0800,2026-08-25T21:37:27+0800
stage2_mve_formal_20260825T210517,4,Codec,1,Codec-1,A,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Codec-1/shared_context.json,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:38:06+0800,2026-08-25T21:38:49+0800
stage2_mve_formal_20260825T210517,5,Codec,1,Codec-1,R,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Codec-1/shared_context.json,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:38:49+0800,2026-08-25T21:39:57+0800
stage2_mve_formal_20260825T210517,6,Codec,1,Codec-1,C,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Codec-1/shared_context.json,0f7eaa46f9c4ee9f37de76bb9ccf282c8a4c4b5cb601abe94ce0617c5e5104c9,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:39:57+0800,2026-08-25T21:41:07+0800
stage2_mve_formal_20260825T210517,7,Collections,1,Collections-1,A,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-1/shared_context.json,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:44:00+0800,2026-08-25T21:46:26+0800
stage2_mve_formal_20260825T210517,8,Collections,1,Collections-1,R,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-1/shared_context.json,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:46:26+0800,2026-08-25T21:49:25+0800
stage2_mve_formal_20260825T210517,9,Collections,1,Collections-1,C,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-1/shared_context.json,84b4f28e10545dd6a1758eb97aa0e0449a2e77dc5229d29ab1814b633f842b44,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:49:25+0800,2026-08-25T21:52:24+0800
stage2_mve_formal_20260825T210517,10,Collections,14,Collections-14,A,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-14/shared_context.json,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T21:55:21+0800,2026-08-25T22:04:19+0800
stage2_mve_formal_20260825T210517,11,Collections,14,Collections-14,R,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-14/shared_context.json,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T22:04:19+0800,2026-08-25T22:13:18+0800
stage2_mve_formal_20260825T210517,12,Collections,14,Collections-14,C,formal_20bug_mve,2.1,stage2-v2.1.1-7a7d2bd44d0bc085,outputs_revised_mve/stage2_mve_formal_20260825T210517/shared_contexts/Collections-14/shared_context.json,bedff546cbc5f8cfdf09c00a616d325714f57f7afeca844e782c013d0298d82b,deepseek-v4-pro,DeepSeek-V4-Pro,0,1.0,4096,3,120000,900,900,1800,900,1,completed,2026-08-25T22:13:18+0800,2026-08-25T22:22:23+0800
